OrderID,TransType,UserID,CryptocurrencyID,CryptoAmount,Timestamp
CryTrans1740001,Crypto Deposit,USR6475,CRY6,7.19,2023-09-21 14:23:16.541592
CryTrans1740002,Crypto Deposit,USR3213,CRY1,63.73,2023-10-23 17:43:09.142688
CryTrans1740003,Crypto Deposit,USR9403,CRY5,61.74,2023-06-10 09:14:42.536107
CryTrans1740004,Crypto Deposit,USR7961,CRY4,10.99,2023-03-01 01:44:47.398979
CryTrans1740005,Crypto Deposit,USR9732,CRY8,44.25,2023-04-15 16:28:35.117405
CryTrans1740006,Crypto Deposit,USR4348,CRY4,96.92,2023-12-16 07:38:49.637332
CryTrans1740007,Crypto Deposit,USR7010,CRY8,23.51,2023-04-01 14:41:47.936701
CryTrans1740008,Crypto Withdrawl,USR5630,CRY4,89.4,2024-01-04 21:19:12.698804
CryTrans1740009,Crypto Withdrawl,USR9803,CRY5,2.17,2023-07-10 21:44:40.850862
CryTrans1740010,Crypto Deposit,USR9991,CRY6,74.08,2023-03-30 05:10:18.473343
CryTrans1740011,Crypto Withdrawl,USR3862,CRY8,91.88,2023-11-12 07:54:46.481646
CryTrans1740012,Crypto Deposit,USR6887,CRY6,36.09,2024-02-03 09:40:55.413665
CryTrans1740013,Crypto Withdrawl,USR8921,CRY10,90.7,2023-06-17 00:00:04.460874
CryTrans1740014,Crypto Deposit,USR5598,CRY7,70.07,2023-03-04 13:54:42.683142
CryTrans1740015,Crypto Deposit,USR1631,CRY2,83.3,2023-07-13 08:50:41.908485
CryTrans1740016,Crypto Deposit,USR3607,CRY9,71.59,2023-07-14 09:06:59.553331
CryTrans1740017,Crypto Deposit,USR1199,CRY5,29.45,2023-06-05 05:48:05.062456
CryTrans1740018,Crypto Deposit,USR2733,CRY2,44.09,2023-08-07 12:00:05.710760
CryTrans1740019,Crypto Deposit,USR7087,CRY5,46.74,2023-11-29 12:15:53.267982
CryTrans1740020,Crypto Withdrawl,USR9633,CRY2,29.46,2023-04-07 15:26:12.540061
CryTrans1740021,Crypto Deposit,USR3733,CRY4,85.44,2023-08-14 12:28:13.118548
CryTrans1740022,Crypto Deposit,USR5037,CRY1,23.78,2023-10-19 16:10:30.944167
CryTrans1740023,Crypto Withdrawl,USR7926,CRY10,1.74,2023-04-28 00:43:34.821789
CryTrans1740024,Crypto Deposit,USR8815,CRY2,63.19,2023-07-14 17:02:43.941335
CryTrans1740025,Crypto Deposit,USR6543,CRY4,60.99,2023-04-19 16:07:16.777850
CryTrans1740026,Crypto Withdrawl,USR5491,CRY7,59.54,2024-01-11 10:14:27.097656
CryTrans1740027,Crypto Deposit,USR9252,CRY6,26.67,2023-10-24 05:54:59.588358
CryTrans1740028,Crypto Withdrawl,USR2272,CRY5,51.92,2023-06-30 08:34:03.265317
CryTrans1740029,Crypto Withdrawl,USR2488,CRY1,98.55,2023-04-25 20:23:28.560408
CryTrans1740030,Crypto Deposit,USR8352,CRY8,21.92,2023-04-07 18:28:29.708157
CryTrans1740031,Crypto Deposit,USR7918,CRY3,60.14,2024-01-14 09:11:15.220809
CryTrans1740032,Crypto Deposit,USR964,CRY5,14.02,2023-04-21 21:51:42.164172
