OrderID,TransType,UserID,FiatID,FiatAmount,Timestamp
FiatTrans1020001,Fiat Withdrawl,USR4889,CUR14,7315.58,2023-12-22 21:53:49.125375
FiatTrans1020002,Fiat Deposit,USR3188,CUR13,2479.94,2023-12-17 13:08:43.916200
FiatTrans1020003,Fiat Deposit,USR928,CUR10,890.77,2023-03-07 16:27:56.709746
FiatTrans1020004,Fiat Deposit,USR2011,CUR25,9477.35,2023-12-02 20:05:43.029496
FiatTrans1020005,Fiat Deposit,USR3252,CUR9,8406.93,2023-12-01 10:24:20.806207
FiatTrans1020006,Fiat Withdrawl,USR1109,CUR15,1974.99,2023-08-19 11:50:47.292237
FiatTrans1020007,Fiat Deposit,USR5779,CUR14,9698.1,2023-07-31 18:47:01.209217
FiatTrans1020008,Fiat Withdrawl,USR2150,CUR2,3017.12,2023-03-03 19:25:00.444401
FiatTrans1020009,Fiat Withdrawl,USR3113,CUR3,7221.36,2023-04-30 12:41:39.513604
FiatTrans1020010,Fiat Deposit,USR4039,CUR5,8617.05,2023-04-05 15:23:48.709640
FiatTrans1020011,Fiat Deposit,USR2286,CUR17,1957.78,2023-12-30 14:31:01.552901
FiatTrans1020012,Fiat Deposit,USR7564,CUR23,8588.04,2023-05-21 16:17:48.935523
FiatTrans1020013,Fiat Deposit,USR1120,CUR13,3703.32,2023-07-19 00:07:34.832153
FiatTrans1020014,Fiat Withdrawl,USR4422,CUR27,1370.04,2023-10-05 04:39:28.570338
FiatTrans1020015,Fiat Deposit,USR2016,CUR14,4806.52,2023-09-25 04:43:58.631505
FiatTrans1020016,Fiat Deposit,USR3529,CUR2,7892.96,2023-03-15 22:16:54.577809
FiatTrans1020017,Fiat Withdrawl,USR9358,CUR2,1877.69,2023-08-12 10:07:17.659401
FiatTrans1020018,Fiat Withdrawl,USR801,CUR6,4248.05,2024-01-01 15:13:28.815228
FiatTrans1020019,Fiat Withdrawl,USR6072,CUR13,688.65,2023-11-03 23:04:22.577733
FiatTrans1020020,Fiat Withdrawl,USR3382,CUR10,2197.95,2023-12-02 22:03:25.818489
FiatTrans1020021,Fiat Deposit,USR849,CUR17,8827.37,2023-09-01 19:55:15.021510
FiatTrans1020022,Fiat Withdrawl,USR9118,CUR6,6904.45,2023-07-12 06:39:02.074708
FiatTrans1020023,Fiat Deposit,USR3443,CUR18,8432.74,2023-04-12 21:08:30.876811
FiatTrans1020024,Fiat Withdrawl,USR7832,CUR8,3837.48,2024-01-18 20:56:02.558240
FiatTrans1020025,Fiat Withdrawl,USR2508,CUR29,6479.56,2023-05-15 21:55:24.460747
FiatTrans1020026,Fiat Withdrawl,USR4431,CUR14,1319.69,2023-05-03 10:10:33.562680
FiatTrans1020027,Fiat Withdrawl,USR6117,CUR24,2936.67,2023-04-26 19:24:50.932877
FiatTrans1020028,Fiat Deposit,USR69,CUR19,9222.37,2023-05-08 04:48:38.984613
FiatTrans1020029,Fiat Withdrawl,USR6989,CUR22,4152.41,2024-01-04 08:33:49.539912
FiatTrans1020030,Fiat Deposit,USR8868,CUR16,3180.44,2023-11-02 07:21:39.616571
FiatTrans1020031,Fiat Withdrawl,USR1371,CUR11,3370.51,2023-04-13 01:08:19.592258
FiatTrans1020032,Fiat Deposit,USR6184,CUR1,9377.95,2023-08-09 00:46:31.111264
FiatTrans1020033,Fiat Deposit,USR3447,CUR30,4546.18,2023-04-18 01:42:57.076234
FiatTrans1020034,Fiat Deposit,USR6541,CUR18,4652.9,2023-12-04 00:50:30.383107
FiatTrans1020035,Fiat Withdrawl,USR1735,CUR9,5607.49,2023-07-18 15:59:11.961506
FiatTrans1020036,Fiat Withdrawl,USR5279,CUR28,6125.4,2023-09-28 01:32:45.015323
FiatTrans1020037,Fiat Deposit,USR1357,CUR3,8841.84,2023-08-15 03:22:01.883229
FiatTrans1020038,Fiat Deposit,USR6146,CUR8,5513.12,2023-09-11 18:16:38.747724
FiatTrans1020039,Fiat Deposit,USR1172,CUR29,3662.34,2023-04-28 08:24:20.109709
FiatTrans1020040,Fiat Deposit,USR9380,CUR24,5445.59,2023-10-30 01:08:44.798547
FiatTrans1020041,Fiat Withdrawl,USR8011,CUR21,3100.82,2023-03-08 17:01:39.202105
FiatTrans1020042,Fiat Deposit,USR2105,CUR21,2228.13,2023-10-04 15:39:52.023225
FiatTrans1020043,Fiat Deposit,USR502,CUR15,4617.1,2023-06-28 05:02:35.449437
FiatTrans1020044,Fiat Deposit,USR4517,CUR5,3228.25,2023-06-04 02:10:50.491265
FiatTrans1020045,Fiat Withdrawl,USR3218,CUR3,9869.39,2023-08-08 01:49:52.319665
