TradeID,UserID,ContractType,CryptocurrencyID,CryptoAmount,FiatID,FiatAmount,Timestamp
FUT700001,USR2173,Long,CRY5,30.14,CUR30,4446.15,2023-12-30 11:46:33.215261
FUT700002,USR4436,Short,CRY8,82.25,CUR24,4946.16,2023-02-22 00:03:06.133298
FUT700003,USR4341,Long,CRY1,48.0,CUR16,4203.09,2023-07-10 17:53:08.913515
FUT700004,USR2020,Short,CRY3,9.36,CUR1,1893.23,2023-12-20 15:37:40.162012
FUT700005,USR8832,Long,CRY6,46.81,CUR21,181.55,2023-02-13 02:12:54.531839
FUT700006,USR2424,Long,CRY2,93.85,CUR22,7796.13,2024-01-13 23:43:19.595582
FUT700007,USR9573,Long,CRY7,64.32,CUR1,371.83,2023-05-04 09:29:41.613363
FUT700008,USR5623,Long,CRY3,55.71,CUR5,169.15,2023-06-27 01:02:34.655768
FUT700009,USR4201,Short,CRY9,45.54,CUR28,338.17,2023-09-25 03:04:26.650839
FUT700010,USR7779,Short,CRY9,14.36,CUR1,1849.92,2023-07-17 09:36:41.735985
FUT700011,USR9730,Long,CRY3,81.07,CUR18,3991.59,2023-06-06 18:22:50.170758
FUT700012,USR9919,Short,CRY1,76.66,CUR10,1109.71,2023-06-13 01:11:40.723186
FUT700013,USR3570,Long,CRY5,47.77,CUR12,8320.43,2023-10-09 22:52:15.999505
FUT700014,USR660,Short,CRY10,3.49,CUR13,426.62,2023-03-12 03:22:52.176349
FUT700015,USR4305,Long,CRY3,52.23,CUR2,8566.32,2023-04-10 18:10:16.808472
FUT700016,USR8205,Short,CRY4,59.32,CUR13,9985.56,2023-10-18 10:26:36.009468
FUT700017,USR4612,Long,CRY6,40.42,CUR30,9144.03,2023-05-07 03:10:12.384620
FUT700018,USR4038,Short,CRY8,75.45,CUR2,6143.92,2023-12-20 19:15:54.660745
FUT700019,USR2955,Short,CRY2,24.98,CUR7,4869.77,2023-08-31 23:20:45.837281
FUT700020,USR3914,Short,CRY2,62.93,CUR14,2360.21,2023-05-27 20:53:03.247824
FUT700021,USR9842,Short,CRY5,30.68,CUR10,8693.51,2023-09-17 08:28:20.455923
FUT700022,USR4494,Short,CRY2,16.51,CUR18,2834.91,2023-12-28 10:25:36.985163
FUT700023,USR1053,Long,CRY10,83.29,CUR17,842.3,2023-07-31 14:53:05.610157
FUT700024,USR1510,Long,CRY8,22.76,CUR13,9455.07,2024-01-28 17:33:12.322857
FUT700025,USR7846,Short,CRY1,72.95,CUR23,1392.68,2023-07-26 03:09:11.967801
FUT700026,USR9042,Short,CRY7,4.81,CUR2,9340.87,2023-05-12 14:39:58.115638
FUT700027,USR8472,Short,CRY1,8.75,CUR27,4245.93,2023-04-01 16:12:57.294986
FUT700028,USR7221,Short,CRY5,4.16,CUR9,8682.5,2023-03-02 18:19:45.260688
FUT700029,USR1555,Long,CRY5,52.03,CUR16,8298.01,2023-03-23 02:09:57.674044
FUT700030,USR31,Short,CRY2,91.74,CUR18,6964.04,2023-09-09 12:31:25.028181
FUT700031,USR8585,Long,CRY8,39.31,CUR5,6718.82,2023-07-19 10:42:49.463443
FUT700032,USR562,Short,CRY3,0.76,CUR11,840.17,2023-08-28 20:04:19.231804
FUT700033,USR674,Short,CRY8,83.06,CUR2,5943.3,2023-03-25 02:18:57.703113
FUT700034,USR7835,Long,CRY8,23.16,CUR4,7982.17,2023-07-20 02:29:50.024204
FUT700035,USR153,Long,CRY2,7.17,CUR24,1895.89,2024-01-12 16:39:07.713624
FUT700036,USR555,Short,CRY9,47.63,CUR29,9487.88,2023-06-11 15:34:06.656670
FUT700037,USR5078,Long,CRY8,36.88,CUR11,6314.5,2023-12-31 01:59:30.276307
FUT700038,USR9823,Short,CRY4,8.22,CUR22,3328.77,2023-06-11 19:13:37.456431
FUT700039,USR8202,Short,CRY6,74.56,CUR19,3860.23,2023-11-14 13:49:01.846379
FUT700040,USR7863,Long,CRY8,28.33,CUR29,3071.59,2023-05-15 08:21:53.150990
FUT700041,USR537,Short,CRY8,96.34,CUR17,7956.24,2023-04-11 00:30:24.933374
FUT700042,USR7783,Short,CRY2,22.06,CUR30,9849.92,2023-12-20 18:13:47.174269
FUT700043,USR4452,Long,CRY1,43.89,CUR21,4792.19,2023-11-23 09:08:18.361258
FUT700044,USR2591,Long,CRY2,65.19,CUR11,8105.63,2023-06-01 10:49:56.780179
FUT700045,USR2470,Long,CRY8,65.05,CUR20,8332.39,2023-07-09 09:26:53.619146
FUT700046,USR1063,Long,CRY9,89.07,CUR6,7870.38,2023-10-16 20:05:15.636912
FUT700047,USR7539,Short,CRY4,32.93,CUR28,1136.92,2023-05-03 00:21:23.950173
FUT700048,USR5107,Long,CRY2,49.24,CUR17,488.52,2023-12-20 14:07:28.227587
FUT700049,USR5121,Short,CRY6,30.47,CUR14,2388.14,2023-09-14 05:18:16.576717
FUT700050,USR6992,Long,CRY7,36.33,CUR6,9481.88,2023-10-03 20:49:46.282992
FUT700051,USR2629,Short,CRY8,44.71,CUR9,9568.02,2023-10-29 03:48:05.415889
FUT700052,USR1736,Long,CRY6,33.68,CUR11,9301.41,2023-08-01 18:08:31.628140
FUT700053,USR2671,Long,CRY10,43.04,CUR18,6024.95,2023-02-20 10:15:18.752593
FUT700054,USR9588,Long,CRY10,98.83,CUR16,3129.67,2024-01-22 03:36:28.756497
FUT700055,USR3156,Long,CRY10,39.14,CUR23,7814.56,2023-03-25 03:03:35.009635
FUT700056,USR9167,Long,CRY8,47.3,CUR29,9395.33,2023-12-09 20:37:18.948153
FUT700057,USR2406,Long,CRY10,25.99,CUR21,114.9,2023-09-11 15:04:28.623696
FUT700058,USR7183,Short,CRY6,47.59,CUR21,333.51,2024-02-06 17:50:55.490098
FUT700059,USR5989,Long,CRY6,24.77,CUR18,2992.35,2023-11-18 08:12:03.104631
FUT700060,USR3019,Long,CRY4,13.22,CUR14,729.09,2023-08-20 01:44:56.645555
FUT700061,USR7104,Short,CRY7,5.74,CUR27,9134.27,2023-12-29 05:28:57.208735
FUT700062,USR8431,Short,CRY1,51.78,CUR14,1036.18,2023-02-25 09:22:14.855213
FUT700063,USR4416,Long,CRY7,24.3,CUR4,2071.62,2023-05-14 12:43:39.987906
FUT700064,USR3692,Short,CRY5,30.21,CUR10,8297.43,2023-11-21 06:59:12.400408
FUT700065,USR2358,Short,CRY2,84.35,CUR13,854.64,2024-01-19 00:54:53.878504
FUT700066,USR2725,Short,CRY6,7.91,CUR1,1116.5,2023-11-09 11:45:02.589829
FUT700067,USR279,Short,CRY10,32.69,CUR16,8179.24,2023-08-08 07:26:42.449600
FUT700068,USR9752,Long,CRY5,64.01,CUR14,137.48,2023-10-10 10:14:49.301258
FUT700069,USR802,Long,CRY1,38.93,CUR5,2077.77,2023-07-18 00:31:08.502676
FUT700070,USR8980,Short,CRY9,54.73,CUR26,9889.68,2023-06-04 17:44:40.988789
FUT700071,USR8916,Long,CRY10,42.32,CUR27,2427.23,2023-11-12 17:55:13.571680
FUT700072,USR9093,Long,CRY2,87.03,CUR14,4708.3,2023-10-17 06:06:18.264323
FUT700073,USR859,Long,CRY9,95.25,CUR29,6825.28,2023-03-30 01:19:37.920893
FUT700074,USR4058,Long,CRY10,36.99,CUR19,8585.11,2023-10-01 11:41:06.416153
FUT700075,USR5746,Long,CRY2,85.15,CUR11,5772.6,2023-04-09 09:18:20.452012
FUT700076,USR7274,Long,CRY4,16.95,CUR19,3939.67,2023-11-21 02:51:31.046891
FUT700077,USR1339,Long,CRY3,56.42,CUR19,2810.38,2024-01-16 01:50:58.516062
FUT700078,USR6193,Short,CRY1,68.55,CUR12,3448.01,2023-08-31 21:32:29.179888
FUT700079,USR2392,Short,CRY9,33.65,CUR27,5870.02,2023-02-18 00:59:07.661074
FUT700080,USR2360,Long,CRY7,53.85,CUR25,8075.86,2023-04-11 05:17:04.738109
FUT700081,USR9985,Short,CRY5,78.46,CUR13,7135.2,2023-06-01 14:33:46.607463
FUT700082,USR2927,Short,CRY3,19.75,CUR9,5610.12,2023-07-01 08:17:02.993883
FUT700083,USR9229,Long,CRY1,3.77,CUR21,8219.95,2023-03-18 12:44:33.780918
FUT700084,USR5248,Long,CRY2,93.39,CUR18,6469.79,2023-04-14 06:43:38.839696
FUT700085,USR8849,Short,CRY10,43.66,CUR17,2970.78,2023-09-28 07:52:23.593792
FUT700086,USR9246,Short,CRY3,60.01,CUR10,8749.01,2023-02-14 03:40:20.298749
FUT700087,USR4224,Long,CRY3,6.91,CUR3,2134.18,2023-12-30 01:11:28.328506
FUT700088,USR1800,Long,CRY7,6.31,CUR12,1933.49,2023-03-30 02:11:06.062374
FUT700089,USR33,Short,CRY1,51.36,CUR8,2533.01,2023-06-05 12:19:24.195442
FUT700090,USR928,Short,CRY1,90.03,CUR9,5151.52,2023-10-02 08:05:56.912001
FUT700091,USR1896,Long,CRY3,36.2,CUR30,5944.58,2023-08-05 06:48:38.076974
FUT700092,USR6137,Short,CRY8,38.49,CUR6,2666.66,2023-05-01 19:52:15.283910
FUT700093,USR8551,Short,CRY5,71.25,CUR25,1418.2,2023-07-23 03:30:54.642497
FUT700094,USR778,Short,CRY2,66.04,CUR30,8962.28,2023-10-03 20:17:06.583394
FUT700095,USR2510,Long,CRY7,97.36,CUR14,9331.28,2023-07-31 07:25:10.528144
FUT700096,USR4679,Short,CRY4,40.96,CUR25,6998.34,2023-10-27 15:09:26.404794
FUT700097,USR5622,Long,CRY10,77.7,CUR24,6002.86,2024-02-04 10:39:39.036884
FUT700098,USR6072,Short,CRY8,74.63,CUR26,8533.72,2023-10-14 18:36:01.305722
FUT700099,USR4407,Short,CRY5,59.92,CUR12,6004.96,2023-02-18 07:48:52.123221
FUT700100,USR8898,Short,CRY5,6.63,CUR22,6768.39,2023-06-09 07:13:49.936325
FUT700101,USR4357,Long,CRY5,42.0,CUR29,6740.16,2023-07-21 12:59:55.663560
FUT700102,USR940,Long,CRY10,48.54,CUR4,4238.62,2023-07-22 04:59:12.340356
FUT700103,USR5485,Short,CRY4,43.28,CUR20,9356.67,2023-03-01 21:26:36.881430
FUT700104,USR2615,Long,CRY3,80.62,CUR20,5268.19,2023-08-14 17:26:44.685779
FUT700105,USR3407,Long,CRY5,10.68,CUR10,7373.84,2023-02-22 06:08:34.943948
FUT700106,USR5636,Long,CRY9,72.34,CUR5,9797.73,2023-04-24 04:02:37.583630
FUT700107,USR9088,Short,CRY3,84.87,CUR2,7591.82,2023-09-04 05:59:18.209519
FUT700108,USR7472,Long,CRY5,29.0,CUR10,2396.7,2023-10-28 00:21:07.588268
FUT700109,USR9377,Long,CRY8,63.17,CUR3,8173.6,2023-11-21 17:25:40.325770
FUT700110,USR4905,Long,CRY3,12.07,CUR8,6589.25,2023-09-10 12:53:28.992182
FUT700111,USR2287,Short,CRY3,49.46,CUR24,461.27,2023-02-12 15:58:27.113177
FUT700112,USR7673,Short,CRY9,30.39,CUR9,6837.96,2023-03-13 12:35:51.510213
FUT700113,USR2751,Long,CRY10,87.55,CUR12,5546.37,2023-10-25 07:16:56.997038
FUT700114,USR224,Short,CRY9,4.57,CUR1,1646.02,2023-12-14 04:52:27.271680
FUT700115,USR7311,Short,CRY7,89.68,CUR29,8323.86,2023-05-19 20:09:54.050031
FUT700116,USR9355,Short,CRY4,19.65,CUR21,2737.09,2023-08-05 12:35:53.075613
FUT700117,USR9532,Short,CRY2,50.56,CUR1,972.76,2024-02-04 13:36:15.952868
FUT700118,USR6438,Short,CRY1,43.56,CUR20,5274.09,2023-09-17 05:00:43.806637
FUT700119,USR6742,Short,CRY2,26.45,CUR11,7443.62,2023-10-12 07:47:16.748111
FUT700120,USR7252,Long,CRY6,52.51,CUR5,5954.25,2023-08-21 01:14:39.088094
FUT700121,USR2672,Short,CRY2,74.94,CUR13,5098.53,2023-07-20 19:55:17.515536
FUT700122,USR4863,Short,CRY8,11.67,CUR4,2756.31,2023-04-09 23:19:23.977806
FUT700123,USR8691,Short,CRY1,41.96,CUR15,9395.48,2023-03-03 20:18:08.573402
FUT700124,USR8094,Short,CRY1,4.53,CUR11,1513.7,2023-07-11 03:48:26.255593
FUT700125,USR7375,Short,CRY2,68.84,CUR10,5805.4,2024-01-24 20:34:01.533649
FUT700126,USR5691,Short,CRY4,83.9,CUR20,1369.08,2023-10-13 03:38:40.290095
FUT700127,USR68,Long,CRY1,39.1,CUR2,6650.78,2023-12-06 14:13:36.964913
FUT700128,USR27,Long,CRY4,98.25,CUR21,9481.39,2024-01-04 05:38:37.371212
FUT700129,USR4562,Long,CRY2,11.78,CUR10,615.11,2023-09-05 10:05:50.530895
FUT700130,USR9860,Short,CRY7,47.48,CUR16,1896.99,2023-03-31 11:21:04.091815
FUT700131,USR7230,Long,CRY9,67.51,CUR5,6446.14,2023-04-15 10:14:40.503417
FUT700132,USR7655,Long,CRY8,99.28,CUR20,7870.5,2023-12-06 02:11:50.300640
FUT700133,USR8094,Short,CRY10,75.87,CUR16,9972.3,2023-02-18 06:20:10.072233
FUT700134,USR2424,Long,CRY9,35.25,CUR23,6179.63,2023-09-09 12:20:46.265396
FUT700135,USR3864,Long,CRY2,10.55,CUR7,7333.97,2023-05-08 10:24:49.118593
FUT700136,USR4996,Long,CRY6,56.27,CUR19,3670.72,2024-01-06 00:42:21.152538
FUT700137,USR2535,Short,CRY7,15.37,CUR12,2108.7,2023-09-17 02:01:45.835113
FUT700138,USR2125,Short,CRY8,74.15,CUR23,1746.72,2023-07-24 16:57:59.201037
FUT700139,USR712,Short,CRY2,79.13,CUR11,2517.07,2023-11-23 23:33:43.430113
FUT700140,USR4249,Long,CRY7,16.9,CUR22,8749.07,2024-02-07 01:01:06.760273
FUT700141,USR4462,Short,CRY6,92.3,CUR20,4231.44,2023-12-07 15:12:12.967065
FUT700142,USR5822,Long,CRY4,68.01,CUR27,3841.76,2023-10-05 08:15:30.375652
FUT700143,USR8882,Long,CRY9,64.36,CUR7,3442.58,2023-03-21 03:05:28.704800
FUT700144,USR7649,Short,CRY9,17.08,CUR19,3928.71,2023-12-28 03:00:43.380830
FUT700145,USR8548,Short,CRY9,89.97,CUR15,6603.24,2023-06-14 17:44:51.498484
FUT700146,USR2067,Short,CRY6,82.04,CUR13,4937.4,2023-09-14 21:56:50.100996
FUT700147,USR9567,Short,CRY7,94.8,CUR3,2529.25,2023-07-10 00:00:59.639286
FUT700148,USR1188,Short,CRY8,67.12,CUR28,6965.34,2023-10-02 12:06:58.590410
FUT700149,USR1345,Short,CRY9,43.84,CUR26,6998.04,2023-11-15 21:54:43.039136
FUT700150,USR8119,Short,CRY7,5.03,CUR20,5802.99,2023-07-05 04:25:03.234652
FUT700151,USR9427,Short,CRY6,46.25,CUR30,3073.1,2024-01-21 08:27:06.705202
FUT700152,USR7930,Short,CRY9,68.26,CUR7,3418.11,2023-11-14 13:33:24.318647
FUT700153,USR3003,Long,CRY8,97.71,CUR17,7055.79,2023-07-30 22:59:23.836666
FUT700154,USR6836,Long,CRY4,66.6,CUR9,7050.61,2024-01-27 09:40:20.775792
FUT700155,USR1706,Long,CRY6,18.5,CUR29,6055.1,2023-07-07 02:40:22.683317
FUT700156,USR1479,Short,CRY1,60.47,CUR14,7138.82,2023-02-11 16:39:47.992835
FUT700157,USR8135,Long,CRY6,54.8,CUR23,5166.59,2023-12-22 00:47:34.381995
FUT700158,USR2271,Long,CRY1,67.07,CUR2,9526.42,2023-08-26 10:31:28.091601
FUT700159,USR1262,Long,CRY7,90.09,CUR22,6214.47,2023-03-29 06:06:37.893760
FUT700160,USR1078,Short,CRY3,87.29,CUR24,3324.33,2023-12-19 11:43:22.451515
FUT700161,USR2436,Short,CRY4,68.66,CUR28,6918.47,2023-09-04 19:14:31.289389
FUT700162,USR2588,Short,CRY7,34.63,CUR16,9417.46,2023-10-03 19:08:26.286679
FUT700163,USR9603,Short,CRY2,54.76,CUR23,6000.69,2023-12-13 04:53:54.476937
FUT700164,USR6241,Short,CRY7,22.51,CUR30,7101.53,2023-09-02 14:48:25.691740
FUT700165,USR8539,Short,CRY10,99.87,CUR27,9500.2,2024-01-27 09:21:28.940229
FUT700166,USR3112,Short,CRY2,6.85,CUR21,2536.75,2023-10-03 08:17:24.784944
FUT700167,USR9313,Long,CRY6,46.23,CUR4,5200.78,2024-01-05 23:38:24.056023
FUT700168,USR6307,Long,CRY1,4.26,CUR7,3981.35,2023-09-18 00:06:18.854714
FUT700169,USR3384,Short,CRY10,93.36,CUR23,1793.56,2023-10-12 23:06:14.244678
FUT700170,USR3997,Short,CRY6,30.82,CUR2,4089.19,2023-02-10 12:03:02.311551
FUT700171,USR3250,Long,CRY6,53.21,CUR21,3552.71,2023-12-09 20:58:56.116981
FUT700172,USR6438,Long,CRY10,27.65,CUR12,3186.72,2023-03-30 04:29:58.650285
FUT700173,USR1665,Short,CRY4,99.82,CUR5,1598.58,2023-12-11 12:22:29.605235
FUT700174,USR6086,Long,CRY4,75.18,CUR25,7483.6,2023-04-20 17:42:41.752538
FUT700175,USR2222,Short,CRY2,55.87,CUR24,4283.21,2023-07-12 07:26:37.909120
FUT700176,USR6998,Short,CRY2,96.42,CUR27,9669.47,2023-11-20 18:03:48.920512
FUT700177,USR7258,Short,CRY4,66.75,CUR17,2847.82,2023-03-27 08:56:09.616504
FUT700178,USR4415,Long,CRY7,61.19,CUR11,8308.49,2023-07-08 00:38:07.319691
FUT700179,USR1984,Short,CRY4,28.79,CUR19,4529.86,2023-08-19 03:25:18.174082
FUT700180,USR7230,Short,CRY6,1.73,CUR20,5074.67,2024-01-12 20:34:01.141772
FUT700181,USR4665,Short,CRY6,39.12,CUR10,5761.8,2023-11-16 01:31:28.239265
FUT700182,USR2790,Long,CRY7,17.7,CUR13,770.86,2023-06-28 16:30:18.913347
FUT700183,USR578,Long,CRY10,69.17,CUR25,4577.49,2023-06-01 09:58:25.910292
FUT700184,USR9490,Short,CRY7,46.46,CUR10,2052.07,2023-09-22 09:07:28.960255
FUT700185,USR3217,Long,CRY8,45.96,CUR9,6301.89,2023-08-01 20:34:15.159690
FUT700186,USR2871,Short,CRY3,43.03,CUR10,9331.46,2023-12-08 20:06:11.129268
FUT700187,USR6749,Short,CRY6,7.3,CUR18,2539.15,2023-03-16 11:32:55.406050
FUT700188,USR9262,Long,CRY6,80.35,CUR6,2385.76,2023-03-05 17:49:41.310831
FUT700189,USR8332,Long,CRY5,72.56,CUR8,8876.33,2023-02-15 17:48:52.870500
FUT700190,USR8781,Long,CRY6,84.45,CUR3,5884.7,2023-03-05 03:27:09.146855
FUT700191,USR7574,Long,CRY7,44.04,CUR15,4938.46,2023-05-22 02:24:17.938630
FUT700192,USR9362,Short,CRY10,99.3,CUR21,6614.55,2023-03-28 19:10:27.062780
FUT700193,USR2568,Short,CRY2,17.89,CUR3,6229.1,2023-09-27 08:58:51.247283
FUT700194,USR6133,Long,CRY1,15.22,CUR12,1012.57,2023-12-21 04:32:53.951607
FUT700195,USR9422,Long,CRY1,80.05,CUR11,5119.53,2024-01-06 05:39:51.708537
FUT700196,USR1000,Short,CRY3,91.3,CUR10,1713.06,2023-07-18 00:19:29.563388
FUT700197,USR3960,Short,CRY9,63.3,CUR2,1646.32,2023-05-31 21:16:00.326089
FUT700198,USR9580,Short,CRY3,91.15,CUR22,4506.43,2023-03-31 16:24:13.120560
FUT700199,USR7145,Long,CRY2,43.15,CUR1,842.4,2023-08-07 05:49:17.417062
FUT700200,USR4513,Short,CRY4,57.27,CUR24,4117.7,2023-12-24 17:14:49.493135
FUT700201,USR9283,Long,CRY7,50.22,CUR11,2240.22,2023-03-12 06:47:43.482505
FUT700202,USR2855,Short,CRY10,11.99,CUR19,6774.1,2023-04-16 16:53:01.443233
FUT700203,USR8519,Short,CRY3,92.82,CUR15,5798.34,2023-06-19 16:02:06.753910
FUT700204,USR6828,Short,CRY8,27.31,CUR30,3206.84,2023-10-03 21:57:12.691990
FUT700205,USR8246,Short,CRY6,52.56,CUR24,4090.51,2023-07-18 10:12:37.152835
FUT700206,USR5019,Long,CRY5,86.59,CUR5,8146.65,2023-02-25 18:01:55.609390
FUT700207,USR7147,Long,CRY1,97.13,CUR25,4673.72,2023-12-27 18:57:41.244024
FUT700208,USR479,Short,CRY4,87.63,CUR20,4552.35,2023-08-18 02:09:42.742070
FUT700209,USR6163,Short,CRY10,97.98,CUR28,9710.38,2023-02-10 08:43:57.198962
FUT700210,USR9902,Short,CRY2,48.85,CUR25,6511.61,2023-10-01 20:14:42.459980
FUT700211,USR9625,Long,CRY2,99.99,CUR25,3850.47,2024-01-10 13:52:18.807458
FUT700212,USR9516,Short,CRY10,36.59,CUR16,1715.55,2023-04-15 11:10:15.141494
FUT700213,USR1674,Long,CRY8,73.31,CUR24,8338.82,2023-10-27 15:34:01.839508
FUT700214,USR2642,Short,CRY9,85.91,CUR21,5237.96,2023-03-20 13:30:01.415348
FUT700215,USR9093,Long,CRY7,50.11,CUR4,424.88,2023-02-27 22:47:46.250785
FUT700216,USR7551,Short,CRY8,74.98,CUR28,6258.12,2023-07-17 06:51:08.527086
FUT700217,USR7129,Short,CRY6,7.92,CUR17,4772.04,2023-10-27 10:34:40.124840
FUT700218,USR9406,Long,CRY4,64.79,CUR18,7059.51,2023-12-10 03:46:35.306545
FUT700219,USR6659,Long,CRY6,85.04,CUR2,5324.33,2023-07-20 13:49:42.373288
FUT700220,USR2326,Short,CRY3,19.42,CUR9,7693.67,2023-09-23 12:23:13.132662
FUT700221,USR8331,Long,CRY7,53.82,CUR25,1096.31,2023-02-28 19:34:26.547374
FUT700222,USR6567,Short,CRY4,27.69,CUR28,2111.92,2023-03-09 23:08:54.994858
FUT700223,USR9947,Short,CRY1,7.14,CUR16,9717.07,2023-11-20 22:43:17.425260
FUT700224,USR7361,Short,CRY8,1.71,CUR26,999.71,2023-10-06 06:52:46.337782
FUT700225,USR399,Short,CRY1,59.39,CUR20,8519.86,2023-06-16 14:28:07.415694
FUT700226,USR6980,Short,CRY6,11.21,CUR12,2528.87,2023-10-03 05:15:16.163692
FUT700227,USR8580,Long,CRY1,59.97,CUR29,1904.81,2023-11-27 19:51:40.847755
FUT700228,USR7668,Long,CRY1,68.0,CUR5,3742.48,2023-07-15 11:40:23.160018
FUT700229,USR9134,Short,CRY1,21.91,CUR11,6662.0,2023-06-17 18:35:13.384191
FUT700230,USR3839,Short,CRY10,28.63,CUR29,7886.5,2024-02-03 12:56:45.872240
FUT700231,USR5118,Long,CRY8,43.34,CUR18,6518.34,2023-10-10 01:35:43.382305
FUT700232,USR5753,Long,CRY1,18.72,CUR10,2334.28,2023-02-25 07:47:53.742993
FUT700233,USR6310,Short,CRY5,25.72,CUR23,6879.09,2023-08-01 04:05:47.533972
FUT700234,USR9740,Long,CRY10,82.65,CUR19,7841.89,2023-10-23 10:51:13.995291
FUT700235,USR8919,Long,CRY8,23.64,CUR20,5330.97,2023-04-19 06:47:20.861288
