OrderID,OrderType,SellerUserID,BuyerUserID,CryptocurrencyID,CryptoAmount,FiatAmount,FiatID,Timestamp
OTC1740001,Sell,USR606,USR4149,CRY7,97.85,6509.75,CUR13,2023-07-05 13:11:25.121003
OTC1740002,Buy,USR8156,USR3039,CRY1,57.64,1162.64,CUR8,2024-01-04 15:38:11.046592
OTC1740003,Buy,USR8426,USR2720,CRY9,82.6,2534.93,CUR20,2023-05-14 08:44:28.855961
OTC1740004,Buy,USR1245,USR2985,CRY3,40.77,9865.27,CUR6,2023-05-10 16:11:07.887258
OTC1740005,Sell,USR42,USR7193,CRY4,10.46,7988.84,CUR29,2023-08-01 16:25:02.723995
OTC1740006,Buy,USR3866,USR5406,CRY7,14.74,9376.27,CUR10,2023-10-19 07:50:08.403914
OTC1740007,Sell,USR8414,USR764,CRY9,56.38,8948.06,CUR16,2023-09-09 08:25:50.282620
OTC1740008,Sell,USR6188,USR9940,CRY10,2.04,6243.37,CUR30,2023-12-13 07:11:33.267501
OTC1740009,Sell,USR5884,USR9324,CRY6,87.63,3546.79,CUR8,2023-08-17 04:03:13.663128
OTC1740010,Buy,USR2735,USR8522,CRY5,71.55,1435.85,CUR6,2023-05-26 18:59:35.497947
OTC1740011,Sell,USR1423,USR2470,CRY5,24.02,1599.62,CUR6,2023-10-04 16:59:11.000295
OTC1740012,Buy,USR4393,USR8291,CRY2,96.87,5862.48,CUR30,2023-08-03 22:27:15.248089
OTC1740013,Buy,USR7799,USR7850,CRY3,38.99,3639.03,CUR19,2023-05-23 20:19:11.635261
OTC1740014,Sell,USR7962,USR5607,CRY1,99.43,3143.75,CUR15,2023-02-26 15:07:02.553425
OTC1740015,Buy,USR2300,USR9523,CRY1,47.74,7053.56,CUR3,2023-04-26 16:23:51.197794
OTC1740016,Sell,USR6653,USR1161,CRY5,81.75,6271.23,CUR24,2023-08-06 18:48:46.244631
OTC1740017,Buy,USR2139,USR9603,CRY2,83.36,9541.47,CUR19,2023-06-14 22:33:52.813692
OTC1740018,Buy,USR9060,USR3906,CRY2,40.11,9609.96,CUR15,2023-07-15 23:29:49.764102
OTC1740019,Sell,USR8243,USR9873,CRY8,72.05,7516.21,CUR16,2023-12-10 17:42:45.718772
OTC1740020,Buy,USR5403,USR6317,CRY4,24.01,6824.98,CUR29,2023-12-26 22:31:14.427591
OTC1740021,Buy,USR7778,USR6686,CRY9,36.2,5525.0,CUR10,2024-02-06 08:52:33.391503
OTC1740022,Buy,USR8632,USR826,CRY7,14.36,2109.92,CUR6,2023-11-19 13:15:11.433471
OTC1740023,Sell,USR1047,USR5902,CRY7,40.67,5119.06,CUR3,2023-11-01 16:24:11.975854
OTC1740024,Sell,USR138,USR8937,CRY10,85.96,9026.82,CUR28,2023-10-11 14:10:21.058318
OTC1740025,Buy,USR9339,USR4542,CRY3,59.66,2610.41,CUR22,2023-07-20 14:53:54.463692
OTC1740026,Sell,USR3603,USR5489,CRY10,8.57,9182.95,CUR12,2024-01-24 08:10:35.149864
OTC1740027,Sell,USR8452,USR3824,CRY4,58.43,2871.25,CUR4,2023-03-17 07:43:52.481661
OTC1740028,Buy,USR8971,USR6506,CRY6,30.45,1077.53,CUR12,2023-07-10 21:32:31.666542
OTC1740029,Buy,USR1614,USR1491,CRY1,30.06,7646.78,CUR29,2024-01-08 04:35:14.038003
OTC1740030,Buy,USR5650,USR716,CRY9,1.82,507.97,CUR30,2023-10-25 12:43:24.487833
OTC1740031,Buy,USR8110,USR1189,CRY6,15.97,3924.44,CUR28,2023-08-03 19:23:09.964648
OTC1740032,Sell,USR3909,USR2922,CRY5,24.79,888.25,CUR19,2023-09-21 05:47:53.202259
OTC1740033,Sell,USR712,USR8042,CRY9,57.86,6484.08,CUR11,2023-11-20 12:01:21.146134
OTC1740034,Buy,USR6336,USR1579,CRY1,0.17,3126.66,CUR3,2023-03-10 21:23:37.829552
OTC1740035,Buy,USR8203,USR903,CRY5,0.88,1002.04,CUR3,2023-02-23 18:55:12.852842
OTC1740036,Buy,USR1886,USR2374,CRY4,15.71,1554.09,CUR6,2023-04-07 23:25:13.232458
OTC1740037,Buy,USR6667,USR7480,CRY1,78.96,435.87,CUR10,2023-08-14 04:02:32.120190
OTC1740038,Sell,USR7085,USR363,CRY8,43.29,1842.89,CUR27,2023-04-24 01:30:25.232215
OTC1740039,Buy,USR7492,USR6419,CRY3,6.41,6846.29,CUR2,2023-05-13 20:46:27.576354
OTC1740040,Buy,USR5745,USR1309,CRY6,83.5,8086.2,CUR22,2023-04-13 12:51:32.175917
OTC1740041,Sell,USR5842,USR2105,CRY10,71.77,2289.87,CUR23,2023-09-16 04:50:19.767176
OTC1740042,Buy,USR6045,USR7674,CRY1,76.06,2515.74,CUR25,2023-11-07 10:09:37.614114
OTC1740043,Buy,USR1920,USR5084,CRY10,66.93,8619.93,CUR20,2023-10-12 06:38:29.650904
OTC1740044,Buy,USR5551,USR8501,CRY2,55.17,3905.81,CUR19,2023-03-27 01:54:58.954705
OTC1740045,Buy,USR247,USR3815,CRY4,60.78,9480.13,CUR30,2024-01-11 14:47:36.257355
OTC1740046,Sell,USR6796,USR3284,CRY3,23.46,5624.69,CUR30,2023-03-24 20:43:04.356712
OTC1740047,Buy,USR6669,USR8236,CRY2,82.77,8014.42,CUR18,2023-02-18 02:20:57.252251
OTC1740048,Sell,USR4208,USR2614,CRY8,5.05,295.27,CUR9,2023-12-22 17:42:43.496822
OTC1740049,Sell,USR3866,USR6459,CRY8,53.47,3905.36,CUR21,2023-12-20 02:28:14.098800
OTC1740050,Buy,USR5336,USR5722,CRY1,15.93,3729.23,CUR29,2023-08-27 21:46:01.130552
OTC1740051,Buy,USR4057,USR8810,CRY9,90.32,9502.39,CUR29,2023-11-22 03:37:52.104757
