PrivacyPrefID,UserID,OptInMarketing,OptInDataSharing
PRV1,USR4234,False,False
PRV2,USR9746,False,True
PRV3,USR2214,False,False
PRV4,USR2001,False,False
PRV5,USR4070,False,True
PRV6,USR152,True,False
PRV7,USR8112,True,True
PRV8,USR4858,False,True
PRV9,USR6575,True,True
PRV10,USR2986,False,True
PRV11,USR8905,True,True
PRV12,USR2402,False,True
PRV13,USR7506,False,False
PRV14,USR4302,False,True
PRV15,USR1257,True,True
PRV16,USR6148,False,False
PRV17,USR1283,False,False
PRV18,USR5708,True,False
PRV19,USR8148,False,True
PRV20,USR7627,True,False
PRV21,USR9700,True,False
PRV22,USR1374,True,True
PRV23,USR1927,True,False
PRV24,USR4447,True,True
PRV25,USR6714,False,False
PRV26,USR7758,False,False
PRV27,USR2307,False,False
PRV28,USR194,False,False
PRV29,USR5441,True,False
PRV30,USR3700,False,False
PRV31,USR4646,False,False
PRV32,USR7408,True,True
PRV33,USR5004,True,True
PRV34,USR3706,False,True
PRV35,USR9658,False,False
PRV36,USR7720,False,True
PRV37,USR3109,True,False
PRV38,USR9308,True,False
PRV39,USR3874,True,True
PRV40,USR5217,False,True
PRV41,USR6029,True,True
PRV42,USR6306,True,True
PRV43,USR8676,False,True
PRV44,USR8848,False,False
PRV45,USR9173,False,False
PRV46,USR1558,True,False
PRV47,USR5155,False,False
PRV48,USR9031,False,False
PRV49,USR5959,True,True
PRV50,USR1689,False,False
PRV51,USR6828,False,True
PRV52,USR9749,False,False
PRV53,USR7108,True,True
PRV54,USR2411,False,True
PRV55,USR1318,False,False
PRV56,USR2915,True,True
PRV57,USR9943,True,True
PRV58,USR1426,False,False
PRV59,USR3360,True,False
PRV60,USR5971,True,False
PRV61,USR9975,False,True
PRV62,USR2564,True,True
PRV63,USR1887,True,False
PRV64,USR1980,False,False
PRV65,USR273,False,False
PRV66,USR4560,True,True
PRV67,USR1413,False,True
PRV68,USR9115,False,True
PRV69,USR3156,False,False
PRV70,USR4635,True,False
PRV71,USR8923,True,True
PRV72,USR8632,True,False
PRV73,USR8755,True,False
PRV74,USR35,False,False
PRV75,USR6361,True,True
PRV76,USR6690,False,False
PRV77,USR8359,False,False
PRV78,USR9963,False,False
PRV79,USR7013,False,True
PRV80,USR6480,False,False
PRV81,USR69,True,False
PRV82,USR8707,False,True
PRV83,USR1808,True,True
PRV84,USR5673,False,True
PRV85,USR8026,False,False
PRV86,USR4032,False,True
PRV87,USR3605,True,True
PRV88,USR6669,False,False
PRV89,USR7601,False,True
PRV90,USR3156,True,True
PRV91,USR410,True,True
PRV92,USR6916,True,True
PRV93,USR316,False,False
PRV94,USR5009,False,True
PRV95,USR1508,False,True
PRV96,USR8497,False,False
PRV97,USR7708,False,False
PRV98,USR7995,False,False
PRV99,USR1355,True,True
PRV100,USR408,False,False
PRV101,USR3261,True,False
PRV102,USR6656,True,False
PRV103,USR5101,True,False
PRV104,USR5920,True,False
PRV105,USR8503,True,False
PRV106,USR6070,True,False
PRV107,USR4098,False,True
PRV108,USR8387,True,False
PRV109,USR5939,False,False
PRV110,USR1625,True,True
PRV111,USR6326,True,True
PRV112,USR2175,False,True
PRV113,USR1019,True,True
PRV114,USR1489,False,True
PRV115,USR3119,True,False
PRV116,USR1037,True,False
PRV117,USR653,False,True
PRV118,USR7372,False,False
PRV119,USR7583,False,False
PRV120,USR6888,True,False
PRV121,USR617,False,False
PRV122,USR5019,True,True
PRV123,USR909,True,False
PRV124,USR3782,True,False
PRV125,USR1015,True,False
PRV126,USR873,False,False
PRV127,USR3337,True,False
PRV128,USR1048,False,False
PRV129,USR4294,False,False
PRV130,USR7208,True,False
PRV131,USR8695,True,False
PRV132,USR2849,False,True
PRV133,USR8631,False,True
PRV134,USR752,True,True
PRV135,USR7065,False,False
PRV136,USR4723,True,True
PRV137,USR3237,True,True
PRV138,USR5527,False,False
PRV139,USR3876,False,False
PRV140,USR6810,False,True
PRV141,USR6121,False,True
PRV142,USR571,False,True
PRV143,USR2024,False,False
PRV144,USR8308,True,True
PRV145,USR5592,False,True
PRV146,USR2212,False,False
PRV147,USR4973,True,False
PRV148,USR517,False,False
PRV149,USR5696,True,False
PRV150,USR8104,True,True
PRV151,USR2493,False,False
PRV152,USR9245,True,False
PRV153,USR4564,True,True
PRV154,USR9276,False,False
