OrderID,OrderType,UserID,CryptocurrencyID,CryptoAmount,FiatAmount,FiatID,Timestamp
SPT60001,Sell,USR2383,CRY6,71.07,2685.2,CUR19,2023-02-18 13:09:13.028348
SPT60002,Sell,USR4151,CRY7,3.21,9191.63,CUR11,2024-01-03 16:04:59.119136
SPT60003,Buy,USR65,CRY6,67.09,4160.9,CUR1,2023-02-13 18:06:37.870102
SPT60004,Buy,USR9462,CRY8,84.91,2634.35,CUR1,2023-04-24 19:53:44.601280
SPT60005,Buy,USR7313,CRY3,32.69,5668.59,CUR5,2023-08-20 20:24:22.946853
SPT60006,Sell,USR4922,CRY5,99.04,4308.4,CUR3,2023-11-05 02:54:41.180827
SPT60007,Sell,USR9961,CRY8,97.96,9969.16,CUR8,2023-07-13 21:13:31.154366
SPT60008,Buy,USR9231,CRY1,28.53,3913.62,CUR22,2023-03-31 16:42:23.155232
SPT60009,Buy,USR9520,CRY5,84.87,9951.48,CUR30,2023-11-12 22:17:27.793646
SPT60010,Sell,USR9969,CRY6,65.83,920.09,CUR18,2023-07-17 16:22:58.024151
SPT60011,Sell,USR9473,CRY4,3.49,4581.26,CUR7,2023-04-13 16:26:24.399534
SPT60012,Buy,USR671,CRY3,74.41,4888.51,CUR3,2023-03-27 02:50:39.851666
SPT60013,Sell,USR4171,CRY5,79.11,3320.39,CUR7,2023-08-26 12:06:14.295253
SPT60014,Buy,USR7268,CRY8,56.88,4638.53,CUR28,2023-12-23 19:39:08.615246
SPT60015,Buy,USR2023,CRY2,31.75,2434.8,CUR16,2023-11-24 02:36:13.733788
SPT60016,Buy,USR6486,CRY5,27.91,6063.69,CUR3,2023-05-04 20:10:38.360529
SPT60017,Buy,USR2097,CRY7,87.81,940.42,CUR14,2023-08-11 14:35:34.362088
SPT60018,Sell,USR9226,CRY5,22.29,7216.84,CUR9,2023-10-12 21:50:06.260838
SPT60019,Sell,USR9940,CRY5,89.39,4647.39,CUR18,2023-06-13 21:53:42.974412
SPT60020,Sell,USR1645,CRY5,95.02,5100.93,CUR23,2023-03-07 07:20:57.159572
SPT60021,Sell,USR1566,CRY9,14.54,5993.39,CUR13,2023-10-31 01:26:53.390903
SPT60022,Sell,USR3269,CRY8,42.55,2757.05,CUR21,2023-08-24 15:12:51.282344
SPT60023,Buy,USR9965,CRY5,60.26,5554.76,CUR25,2023-08-02 15:33:48.314400
SPT60024,Buy,USR2132,CRY1,17.92,4952.64,CUR2,2023-06-21 13:46:54.024019
SPT60025,Sell,USR8481,CRY9,27.57,1310.63,CUR18,2023-09-27 01:50:50.439245
SPT60026,Buy,USR4375,CRY4,40.74,7512.29,CUR19,2023-06-23 19:47:09.297022
SPT60027,Buy,USR119,CRY2,4.94,140.39,CUR20,2023-10-09 01:15:03.436262
SPT60028,Sell,USR1130,CRY8,99.64,1713.55,CUR13,2023-07-27 23:58:11.385387
SPT60029,Buy,USR5554,CRY10,23.14,9534.35,CUR23,2023-10-14 17:30:09.129216
SPT60030,Buy,USR8771,CRY9,79.08,2739.19,CUR25,2023-03-29 03:15:38.037229
SPT60031,Buy,USR3805,CRY10,2.19,1095.23,CUR20,2023-05-17 08:10:45.492072
SPT60032,Sell,USR140,CRY1,48.27,126.73,CUR26,2023-12-08 03:09:08.482220
SPT60033,Buy,USR7523,CRY2,24.79,8214.48,CUR8,2023-11-02 17:27:07.412277
SPT60034,Buy,USR646,CRY10,18.62,4547.96,CUR6,2023-04-13 00:39:18.357363
SPT60035,Sell,USR8252,CRY7,23.78,4540.74,CUR20,2023-06-02 14:37:09.212338
SPT60036,Buy,USR7788,CRY2,78.71,1655.69,CUR30,2023-10-21 04:59:55.535630
SPT60037,Buy,USR3679,CRY4,5.7,5996.85,CUR20,2024-01-12 05:54:56.184989
SPT60038,Buy,USR8555,CRY9,83.96,8955.9,CUR4,2023-12-30 10:21:52.467890
SPT60039,Buy,USR1084,CRY6,57.61,6491.89,CUR16,2023-05-10 14:30:09.223260
SPT60040,Sell,USR8876,CRY4,85.54,9400.71,CUR12,2023-05-30 05:20:14.443856
SPT60041,Sell,USR8765,CRY2,66.01,800.27,CUR1,2023-08-17 20:49:47.886589
SPT60042,Buy,USR4972,CRY6,73.53,2753.87,CUR23,2023-11-06 17:11:15.145631
SPT60043,Sell,USR147,CRY6,11.83,624.65,CUR14,2023-05-12 19:45:27.487437
SPT60044,Buy,USR7388,CRY9,4.23,6183.18,CUR21,2023-10-22 09:13:15.960406
SPT60045,Buy,USR9844,CRY8,44.46,6837.15,CUR9,2023-05-22 03:08:32.566154
SPT60046,Sell,USR3484,CRY4,29.79,3187.0,CUR29,2023-03-30 13:43:03.881983
