ReportID,UserID,TradeID,ReportDate,ReportedAmount
TAX1660001,USR1481,SPT137056,2022-11-29,45311.11
TAX1660002,USR1654,SPT1933849,2022-08-23,31099.06
TAX1660003,USR3507,SPT1029968,2024-01-26,16442.1
TAX1660004,USR8891,SPT383035,2022-03-23,24096.19
TAX1660005,USR8288,SPT1829301,2022-11-11,7521.41
TAX1660006,USR8649,SPT305238,2023-07-16,37704.55
TAX1660007,USR2474,SPT138219,2023-06-18,9786.56
TAX1660008,USR2371,SPT831168,2022-06-29,43190.51
TAX1660009,USR8274,SPT745474,2022-11-13,12408.34
TAX1660010,USR7891,SPT644983,2023-09-02,30795.31
TAX1660011,USR87,SPT1345236,2023-07-27,44382.56
TAX1660012,USR9987,SPT329020,2024-01-15,49490.98
TAX1660013,USR2703,SPT1337597,2023-01-03,23717.08
TAX1660014,USR1650,SPT694564,2023-07-20,16744.36
TAX1660015,USR7374,SPT1795475,2022-05-23,3813.87
TAX1660016,USR2646,SPT1580884,2023-03-04,39608.82
TAX1660017,USR633,SPT927559,2023-02-03,45654.6
TAX1660018,USR2441,SPT891534,2022-11-14,17165.11
TAX1660019,USR7655,SPT310296,2024-01-23,39016.25
TAX1660020,USR1381,SPT1255910,2022-07-03,25467.99
TAX1660021,USR8425,SPT901439,2022-09-13,45487.89
TAX1660022,USR8228,SPT1890680,2023-12-07,40187.44
TAX1660023,USR2918,SPT546167,2022-06-28,42410.03
TAX1660024,USR4312,SPT1307165,2023-04-21,43211.62
TAX1660025,USR9210,SPT586755,2023-02-16,23651.03
TAX1660026,USR545,SPT768093,2023-01-28,40976.16
TAX1660027,USR3964,SPT263394,2023-07-02,49741.89
TAX1660028,USR2518,SPT1101637,2022-02-20,6855.34
TAX1660029,USR8308,SPT70097,2022-05-29,33328.85
TAX1660030,USR8716,SPT1245417,2023-09-02,18499.63
TAX1660031,USR3212,SPT699985,2023-04-11,31254.27
TAX1660032,USR1059,SPT567500,2023-09-19,19194.12
TAX1660033,USR5221,SPT1923113,2023-03-02,27720.55
TAX1660034,USR8482,SPT1890877,2022-05-08,44468.27
TAX1660035,USR3158,SPT1470773,2022-12-31,27836.93
TAX1660036,USR402,SPT884666,2023-07-25,7028.54
TAX1660037,USR899,SPT1333344,2022-07-11,18761.68
TAX1660038,USR5671,SPT1358010,2022-10-07,10016.48
TAX1660039,USR5605,SPT1331403,2023-09-06,25505.47
TAX1660040,USR7688,SPT1102,2022-10-11,18469.73
TAX1660041,USR9784,SPT1132477,2023-12-13,25626.47
TAX1660042,USR9377,SPT809804,2023-04-22,37292.63
TAX1660043,USR534,SPT1868813,2022-12-19,41362.64
TAX1660044,USR4,SPT1912979,2023-09-19,29708.02
TAX1660045,USR2540,SPT190060,2023-05-19,48400.32
TAX1660046,USR5697,SPT1801456,2022-06-08,40907.5
TAX1660047,USR3108,SPT562366,2022-12-29,9361.76
TAX1660048,USR9959,SPT1859621,2023-06-14,16452.74
TAX1660049,USR7300,SPT1605286,2022-04-05,30098.71
TAX1660050,USR3848,SPT1025080,2023-05-15,8188.92
TAX1660051,USR7293,SPT146475,2023-01-12,34072.75
TAX1660052,USR737,SPT1507549,2022-10-10,47651.6
TAX1660053,USR1780,SPT1144825,2023-06-24,42924.77
TAX1660054,USR621,SPT1879446,2022-09-28,29626.34
TAX1660055,USR4741,SPT761924,2023-01-17,22103.51
TAX1660056,USR9084,SPT854506,2023-10-05,20182.9
TAX1660057,USR1427,SPT229401,2023-07-23,6846.02
TAX1660058,USR7309,SPT1814888,2022-11-22,20202.2
TAX1660059,USR3532,SPT1892727,2023-05-12,4267.21
TAX1660060,USR7324,SPT1286768,2022-10-08,26234.08
TAX1660061,USR6158,SPT563192,2023-06-21,19320.18
TAX1660062,USR6530,SPT1741985,2023-06-15,7146.25
TAX1660063,USR982,SPT1314056,2022-12-25,10019.45
TAX1660064,USR4215,SPT1207062,2022-05-23,18873.07
TAX1660065,USR9611,SPT463285,2023-07-25,27565.99
TAX1660066,USR4795,SPT1823473,2022-10-18,23779.77
TAX1660067,USR7512,SPT8955,2022-08-16,37429.72
TAX1660068,USR9547,SPT838480,2022-11-16,42293.57
TAX1660069,USR247,SPT1735718,2023-04-21,47885.29
TAX1660070,USR1274,SPT1121546,2022-12-14,17347.69
TAX1660071,USR4625,SPT1960128,2022-08-21,1080.21
TAX1660072,USR7961,SPT56722,2023-06-28,36331.1
TAX1660073,USR5234,SPT105292,2022-04-10,32029.37
TAX1660074,USR8558,SPT732579,2022-08-16,20745.87
TAX1660075,USR1246,SPT322555,2022-12-18,13209.42
TAX1660076,USR543,SPT133089,2022-08-20,30439.2
TAX1660077,USR5367,SPT1815769,2023-05-02,20053.57
TAX1660078,USR4517,SPT328796,2023-06-12,35165.09
TAX1660079,USR9774,SPT1678430,2022-08-15,45770.17
TAX1660080,USR85,SPT1343426,2023-12-12,8259.12
TAX1660081,USR2802,SPT753758,2023-06-28,46479.37
TAX1660082,USR5324,SPT1370299,2023-07-29,37329.0
TAX1660083,USR9661,SPT107629,2023-01-17,20364.62
TAX1660084,USR9673,SPT1576627,2022-05-31,1952.6
TAX1660085,USR1393,SPT3253,2023-09-27,48277.03
TAX1660086,USR7328,SPT1555730,2023-02-21,16197.34
TAX1660087,USR5465,SPT589460,2023-04-02,5229.63
TAX1660088,USR6939,SPT1578439,2023-12-16,42424.02
